"STi","T2C","STj","COUNT","YEAR"
"ALABAMA","Under 3 Months","ALABAMA","335","2016"
"ALABAMA","Under 3 Months","ALASKA","0","2016"
"ALABAMA","Under 3 Months","ARIZONA","0","2016"
"ALABAMA","Under 3 Months","ARKANSAS","0","2016"
"ALABAMA","Under 3 Months","CALIFORNIA","2","2016"
"ALABAMA","Under 3 Months","COLORADO","0","2016"
"ALABAMA","Under 3 Months","CONNECTICUT","0","2016"
"ALABAMA","Under 3 Months","DELAWARE","0","2016"
"ALABAMA","Under 3 Months","DISTRICT OF COLUMBIA","0","2016"
"ALABAMA","Under 3 Months","FLORIDA","4","2016"
"ALABAMA","Under 3 Months","GEORGIA","11","2016"
"ALABAMA","Under 3 Months","GUAM & NORTHERN MARIANA ISLANDS","0","2016"
"ALABAMA","Under 3 Months","HAWAII","0","2016"
"ALABAMA","Under 3 Months","IDAHO","0","2016"
"ALABAMA","Under 3 Months","ILLINOIS","4","2016"
"ALABAMA","Under 3 Months","INDIANA","0","2016"
"ALABAMA","Under 3 Months","IOWA","1","2016"
"ALABAMA","Under 3 Months","KANSAS","0","2016"
"ALABAMA","Under 3 Months","KENTUCKY","1","2016"
"ALABAMA","Under 3 Months","LOUISIANA","4","2016"
"ALABAMA","Under 3 Months","MAINE","0","2016"
"ALABAMA","Under 3 Months","MARYLAND","0","2016"
"ALABAMA","Under 3 Months","MASSACHUSETTS","0","2016"
"ALABAMA","Under 3 Months","MICHIGAN","0","2016"
"ALABAMA","Under 3 Months","MINNESOTA","0","2016"
"ALABAMA","Under 3 Months","MISSISSIPPI","0","2016"
"ALABAMA","Under 3 Months","MISSOURI","0","2016"
"ALABAMA","Under 3 Months","MONTANA","0","2016"
"ALABAMA","Under 3 Months","NEBRASKA","0","2016"
"ALABAMA","Under 3 Months","NEVADA","0","2016"
"ALABAMA","Under 3 Months","NEW HAMPSHIRE","0","2016"
"ALABAMA","Under 3 Months","NEW JERSEY","0","2016"
"ALABAMA","Under 3 Months","NEW MEXICO","1","2016"
"ALABAMA","Under 3 Months","NEW YORK","8","2016"
"ALABAMA","Under 3 Months","NORTH CAROLINA","0","2016"
"ALABAMA","Under 3 Months","NORTH DAKOTA","0","2016"
"ALABAMA","Under 3 Months","OHIO","1","2016"
"ALABAMA","Under 3 Months","OKLAHOMA","0","2016"
"ALABAMA","Under 3 Months","OREGON","1","2016"
"ALABAMA","Under 3 Months","PENNSYLVANIA","0","2016"
"ALABAMA","Under 3 Months","PUERTO RICO","2","2016"
"ALABAMA","Under 3 Months","RHODE ISLAND","0","2016"
"ALABAMA","Under 3 Months","SOUTH CAROLINA","0","2016"
"ALABAMA","Under 3 Months","SOUTH DAKOTA","0","2016"
"ALABAMA","Under 3 Months","TENNESSEE","1","2016"
"ALABAMA","Under 3 Months","TEXAS","1","2016"
"ALABAMA","Under 3 Months","US VIRGIN ISLANDS","0","2016"
"ALABAMA","Under 3 Months","UTAH","0","2016"
"ALABAMA","Under 3 Months","VERMONT","0","2016"
"ALABAMA","Under 3 Months","VIRGINIA","0","2016"
"ALABAMA","Under 3 Months","WASHINGTON","0","2016"
"ALABAMA","Under 3 Months","WEST VIRGINIA","0","2016"
"ALABAMA","Under 3 Months","WISCONSIN","0","2016"
"ALABAMA","Under 3 Months","WYOMING","0","2016"
"ALABAMA","Under 3 Months","TOTAL","377","2016"
"ALABAMA","3 Months to Under 7 Months","ALABAMA","282","2016"
"ALABAMA","3 Months to Under 7 Months","ALASKA","0","2016"
"ALABAMA","3 Months to Under 7 Months","ARIZONA","0","2016"
"ALABAMA","3 Months to Under 7 Months","ARKANSAS","0","2016"
"ALABAMA","3 Months to Under 7 Months","CALIFORNIA","2","2016"
"ALABAMA","3 Months to Under 7 Months","COLORADO","0","2016"
"ALABAMA","3 Months to Under 7 Months","CONNECTICUT","0","2016"
"ALABAMA","3 Months to Under 7 Months","DELAWARE","0","2016"
"ALABAMA","3 Months to Under 7 Months","DISTRICT OF COLUMBIA","0","2016"
"ALABAMA","3 Months to Under 7 Months","FLORIDA","7","2016"
"ALABAMA","3 Months to Under 7 Months","GEORGIA","17","2016"
"ALABAMA","3 Months to Under 7 Months","GUAM & NORTHERN MARIANA ISLANDS","0","2016"
"ALABAMA","3 Months to Under 7 Months","HAWAII","0","2016"
"ALABAMA","3 Months to Under 7 Months","IDAHO","0","2016"
"ALABAMA","3 Months to Under 7 Months","ILLINOIS","7","2016"
"ALABAMA","3 Months to Under 7 Months","INDIANA","1","2016"
"ALABAMA","3 Months to Under 7 Months","IOWA","1","2016"
"ALABAMA","3 Months to Under 7 Months","KANSAS","0","2016"
"ALABAMA","3 Months to Under 7 Months","KENTUCKY","0","2016"
"ALABAMA","3 Months to Under 7 Months","LOUISIANA","1","2016"
"ALABAMA","3 Months to Under 7 Months","MAINE","0","2016"
"ALABAMA","3 Months to Under 7 Months","MARYLAND","1","2016"
"ALABAMA","3 Months to Under 7 Months","MASSACHUSETTS","0","2016"
"ALABAMA","3 Months to Under 7 Months","MICHIGAN","0","2016"
"ALABAMA","3 Months to Under 7 Months","MINNESOTA","0","2016"
"ALABAMA","3 Months to Under 7 Months","MISSISSIPPI","2","2016"
"ALABAMA","3 Months to Under 7 Months","MISSOURI","1","2016"
"ALABAMA","3 Months to Under 7 Months","MONTANA","0","2016"
"ALABAMA","3 Months to Under 7 Months","NEBRASKA","0","2016"
"ALABAMA","3 Months to Under 7 Months","NEVADA","0","2016"
"ALABAMA","3 Months to Under 7 Months","NEW HAMPSHIRE","0","2016"
"ALABAMA","3 Months to Under 7 Months","NEW JERSEY","1","2016"
"ALABAMA","3 Months to Under 7 Months","NEW MEXICO","0","2016"
"ALABAMA","3 Months to Under 7 Months","NEW YORK","2","2016"
"ALABAMA","3 Months to Under 7 Months","NORTH CAROLINA","2","2016"
"ALABAMA","3 Months to Under 7 Months","NORTH DAKOTA","0","2016"
"ALABAMA","3 Months to Under 7 Months","OHIO","1","2016"
"ALABAMA","3 Months to Under 7 Months","OKLAHOMA","0","2016"
"ALABAMA","3 Months to Under 7 Months","OREGON","0","2016"
"ALABAMA","3 Months to Under 7 Months","PENNSYLVANIA","0","2016"
"ALABAMA","3 Months to Under 7 Months","PUERTO RICO","0","2016"
"ALABAMA","3 Months to Under 7 Months","RHODE ISLAND","0","2016"
"ALABAMA","3 Months to Under 7 Months","SOUTH CAROLINA","1","2016"
"ALABAMA","3 Months to Under 7 Months","SOUTH DAKOTA","0","2016"
"ALABAMA","3 Months to Under 7 Months","TENNESSEE","5","2016"
"ALABAMA","3 Months to Under 7 Months","TEXAS","2","2016"
"ALABAMA","3 Months to Under 7 Months","US VIRGIN ISLANDS","0","2016"
"ALABAMA","3 Months to Under 7 Months","UTAH","0","2016"
"ALABAMA","3 Months to Under 7 Months","VERMONT","0","2016"
"ALABAMA","3 Months to Under 7 Months","VIRGINIA","1","2016"
"ALABAMA","3 Months to Under 7 Months","WASHINGTON","0","2016"
"ALABAMA","3 Months to Under 7 Months","WEST VIRGINIA","0","2016"
"ALABAMA","3 Months to Under 7 Months","WISCONSIN","0","2016"
"ALABAMA","3 Months to Under 7 Months","WYOMING","0","2016"
"ALABAMA","3 Months to Under 7 Months","TOTAL","337","2016"
"ALABAMA","7 Months to Under 1 Year","ALABAMA","284","2016"
"ALABAMA","7 Months to Under 1 Year","ALASKA","0","2016"
"ALABAMA","7 Months to Under 1 Year","ARIZONA","1","2016"
"ALABAMA","7 Months to Under 1 Year","ARKANSAS","0","2016"
"ALABAMA","7 Months to Under 1 Year","CALIFORNIA","5","2016"
"ALABAMA","7 Months to Under 1 Year","COLORADO","2","2016"
"ALABAMA","7 Months to Under 1 Year","CONNECTICUT","0","2016"
"ALABAMA","7 Months to Under 1 Year","DELAWARE","0","2016"
"ALABAMA","7 Months to Under 1 Year","DISTRICT OF COLUMBIA","1","2016"
"ALABAMA","7 Months to Under 1 Year","FLORIDA","9","2016"
"ALABAMA","7 Months to Under 1 Year","GEORGIA","16","2016"
"ALABAMA","7 Months to Under 1 Year","GUAM & NORTHERN MARIANA ISLANDS","0","2016"
"ALABAMA","7 Months to Under 1 Year","HAWAII","0","2016"
"ALABAMA","7 Months to Under 1 Year","IDAHO","0","2016"
"ALABAMA","7 Months to Under 1 Year","ILLINOIS","3","2016"
"ALABAMA","7 Months to Under 1 Year","INDIANA","1","2016"
"ALABAMA","7 Months to Under 1 Year","IOWA","0","2016"
"ALABAMA","7 Months to Under 1 Year","KANSAS","0","2016"
"ALABAMA","7 Months to Under 1 Year","KENTUCKY","2","2016"
"ALABAMA","7 Months to Under 1 Year","LOUISIANA","2","2016"
"ALABAMA","7 Months to Under 1 Year","MAINE","0","2016"
"ALABAMA","7 Months to Under 1 Year","MARYLAND","0","2016"
"ALABAMA","7 Months to Under 1 Year","MASSACHUSETTS","2","2016"
"ALABAMA","7 Months to Under 1 Year","MICHIGAN","0","2016"
"ALABAMA","7 Months to Under 1 Year","MINNESOTA","1","2016"
"ALABAMA","7 Months to Under 1 Year","MISSISSIPPI","2","2016"
"ALABAMA","7 Months to Under 1 Year","MISSOURI","0","2016"
"ALABAMA","7 Months to Under 1 Year","MONTANA","0","2016"
"ALABAMA","7 Months to Under 1 Year","NEBRASKA","0","2016"
"ALABAMA","7 Months to Under 1 Year","NEVADA","0","2016"
"ALABAMA","7 Months to Under 1 Year","NEW HAMPSHIRE","0","2016"
"ALABAMA","7 Months to Under 1 Year","NEW JERSEY","2","2016"
"ALABAMA","7 Months to Under 1 Year","NEW MEXICO","0","2016"
"ALABAMA","7 Months to Under 1 Year","NEW YORK","3","2016"
"ALABAMA","7 Months to Under 1 Year","NORTH CAROLINA","3","2016"
